,name,author,narrator,release_date,language,stars,price,duration_sec,raters
0,Geronimo Stilton #11 & #12,Geronimo Stilton,Bill Lobely,2008-08-04,English,5.0,468.0,8400,34
1,The Burning Maze,Rick Riordan,Robbie Daymond,2018-05-01,English,4.5,820.0,47280,41
2,The Deep End,Jeff Kinney,Dan Russell,2020-11-06,English,4.5,410.0,7380,38
3,Daughter of the Deep,Rick Riordan,Soneela Nankani,2021-10-05,English,4.5,615.0,40560,12
4,"The Lightning Thief: Percy Jackson, Book 1",Rick Riordan,Jesse Bernstein,2010-01-13,English,4.5,820.0,36000,181
5,The Hunger Games: Special Edition,Suzanne Collins,Tatiana Maslany,2018-10-30,English,5.0,656.0,38100,72
6,Quest for the Diamond Sword,Winter Morgan,Luke Daniels,2014-11-25,English,5.0,233.0,8580,11
7,The Dark Prophecy,Rick Riordan,Robbie Daymond,2017-05-02,English,5.0,820.0,45120,50
8,Merlin Mission Collection,Mary Pope Osborne,Mary Pope Osborne,2017-05-02,English,5.0,1256.0,39360,5
9,The Tyrant’s Tomb,Rick Riordan,Robbie Daymond,2019-09-24,English,5.0,820.0,48120,58
10,"The Titan's Curse: Percy Jackson, Book 3",Rick Riordan,Jesse Bernstein,2010-01-14,English,4.5,820.0,31680,130
11,Magic Tree House Collection: Books 9-16,Mary Pope Osborne,Mary Pope Osborne,2011-08-24,English,5.0,1206.0,19380,6
12,Magic Tree House Collection: Books 1-8,Mary Pope Osborne,Mary Pope Osborne,2011-09-27,English,5.0,1206.0,21660,7
13,Magnus Chase and the Ship of the Dead,Rick Riordan,Michael Crouch,2017-10-03,English,5.0,820.0,46680,41
14,Northern Lights,Philip Pullman,Philip Pullman Ruth Wilson,2021-06-24,English,4.0,1093.0,42900,2
15,Geronimo Stilton #13 and #14,Geronimo Stilton,Bill Lobley,2008-02-08,English,4.5,467.0,8700,33
16,Magic Tree House Collection,Mary Pope Osborne,Mary Pope Osborne,2004-12-26,English,5.0,1206.0,18240,7
17,Exile,Shannon Messenger,Caitlin Kelly,2018-11-06,English,5.0,836.0,52860,20
18,Merlin Mission Collection,Mary Pope Osborne,Mary Pope Osborne,2017-05-02,English,5.0,1256.0,37080,11
19,Neverseen,Shannon Messenger,Caitlin Kelly,2018-11-06,English,5.0,1003.0,60120,13
20,The Tower of Nero,Rick Riordan,Robbie Daymond,2020-10-06,English,5.0,615.0,43920,79
21,"Eldest: The Inheritance Cycle, Book 2",Christopher Paolini,Gerrard Doyle,2009-04-14,English,4.5,957.0,84540,47
22,Artemis Fowl,Eoin Colfer,Gerry O Brien,2013-04-11,English,5.0,683.0,24360,27
23,Geronimo Stilton 22 & 24,Geronimo Stilton,Bill Lobley,2011-02-01,English,4.5,469.0,9420,25
